Date,Open,High,Low,Close,Adj Close,Volume
12/1/1964,0.926482,0.933994,0.89393,0.933994,0.002401,33077000
1/1/1965,0.928986,0.997847,0.911458,0.995343,0.002574,39327100
2/1/1965,0.994091,1.006611,0.947766,1.000351,0.002587,39826300
3/1/1965,1.000351,1.045423,0.984075,0.996595,0.002577,36961000
4/1/1965,1.000351,1.044171,0.997847,1.044171,0.002715,27066600
5/1/1965,1.047927,1.069211,1.006611,1.035407,0.002692,24800400
6/1/1965,1.035407,1.040415,0.916466,0.960286,0.002497,45696800
7/1/1965,0.960286,1.016627,0.959034,1.007863,0.002636,28045100
8/1/1965,1.007863,1.067959,0.999099,1.047927,0.002741,28744000
9/1/1965,1.047927,1.204427,1.031651,1.171875,0.003065,41952900
10/1/1965,1.171875,1.196915,1.151843,1.184395,0.003115,36312200
11/1/1965,1.184395,1.186899,1.126803,1.139323,0.002997,29233100
12/1/1965,1.139323,1.198167,1.121795,1.181891,0.003109,37819500
1/1/1966,1.180639,1.201923,1.144331,1.149339,0.00304,30940300
2/1/1966,1.148087,1.150591,1.087991,1.091747,0.002888,37140500
3/1/1966,1.089243,1.118039,1.062951,1.096755,0.002901,46894800
4/1/1966,1.096755,1.188151,1.077975,1.150591,0.003062,35812700
5/1/1966,1.148087,1.148087,1.024139,1.042919,0.002776,34275100
6/1/1966,1.042919,1.154347,1.041667,1.062951,0.002829,30830600
7/1/1966,1.064203,1.109275,0.951522,0.95653,0.002562,32507600
8/1/1966,0.93775,0.971554,0.836338,0.851362,0.00228,58296800
9/1/1966,0.851362,0.908954,0.801282,0.851362,0.00228,61301900
10/1/1966,0.851362,0.966546,0.828826,0.955278,0.002578,46425600
11/1/1966,0.955278,0.999099,0.951522,0.981571,0.002649,36900900
12/1/1966,0.981571,1.002855,0.84385,0.886418,0.002393,53394300
1/1/1967,0.891426,0.916466,0.847606,0.880158,0.002391,59145000
2/1/1967,0.880158,0.905198,0.826322,0.863882,0.002347,58446100
3/1/1967,0.863882,0.94401,0.846354,0.85011,0.00231,71165800
4/1/1967,0.85011,0.951522,0.838842,0.95027,0.002601,70646700
5/1/1967,0.95027,0.951522,0.85637,0.861378,0.002358,53224500
6/1/1967,0.861378,0.916466,0.838842,0.870142,0.002382,53134800
7/1/1967,0.870142,1.089243,0.858874,1.081731,0.002984,70736500
8/1/1967,1.081731,1.106771,1.014123,1.094251,0.003023,52246500
9/1/1967,1.092999,1.156851,1.071715,1.123047,0.003103,33616000
10/1/1967,1.123047,1.160607,1.056691,1.061699,0.002933,38797800
11/1/1967,1.057943,1.081731,0.975311,1.042919,0.002881,50518800
12/1/1967,1.042919,1.049179,0.923978,0.961538,0.002657,63498200
